,season_id,season_name
65483,11925,Segunda Liga 16/17
65961,10454,Segunda Liga 15/16
66511,8410,Segunda Liga 14/15
67010,6485,Segunda Liga 13/14
67466,24012,Super Cup 2019
67494,29376,Liga I 20/21
67940,24051,Liga I 19/20
68414,17678,Liga I 18/19
68820,13535,Liga I 17/18
69213,11884,Liga I 16/17
69573,10408,Liga I 15/16
69940,8324,Liga I 14/15
70338,6545,Liga I 13/14
70695,29200,Premier League 20/21
71104,23682,Premier League 19/20
71583,17753,Premier League 18/19
72007,13387,Premier League 17/18
72446,11868,Premier League 16/17
72904,10407,Premier League 15/16
73267,8318,Premier League 14/15
73640,6325,Premier League 13/14
74018,24853,Russian Cup 19/20
74089,18327,Russian Cup 18/19
74182,14184,Russian Cup 17/18
74244,12168,Russian Cup 16/17
74308,10679,Russian Cup 15/16
74340,8938,Russian Cup 14/15
74368,6991,Russian Cup 13/14
74380,29199,Football National League 20/21
74931,23683,Football National League 19/20
75412,17463,Football National League 18/19
75872,13366,Football National League 17/18
76314,11801,Football National League 16/17
76735,10455,Football National League 15/16
77146,8234,Football National League 14/15
77465,6373,Football National League 13/14
77828,29196,Super Cup 2020
77858,34459,Saudi Prof. League 20/21
78217,24744,Saudi Prof. League 19/20
78686,17906,Saudi Prof. League 18/19
79164,13982,Saudi Prof. League 17/18
79593,12116,Saudi Prof. League 16/17
80006,26220,Super Cup 2019
80034,15859,Super Cup 2018
80061,29204,Superliga 20/21
80351,23903,Superliga 19/20
80744,17469,Superliga 18/19
81112,13439,Superliga 17/18
81420,11738,Superliga 16/17
81725,10403,Superliga 15/16
82036,8152,Superliga 14/15
82313,29284,PrvaLiga 20/21
82554,23997,PrvaLiga 19/20
82872,17483,PrvaLiga 18/19
83166,13457,PrvaLiga 17/18
83439,11798,PrvaLiga 16/17
83685,10398,PrvaLiga 15/16
83925,8280,PrvaLiga 14/15
84148,6423,PrvaLiga 13/14
84417,24874,Slovenia Cup 19/20
84583,18122,Slovenia Cup 18/19
84757,14038,Slovenia Cup 17/18
84864,11815,Slovenia Cup 16/17
85031,10399,Slovenia Cup 15/16
85188,8284,Slovenia Cup 14/15
85391,6793,Slovenia Cup 13/14
85513,32501,LaLiga 20/21
85989,24127,LaLiga 19/20
86546,18020,LaLiga 18/19
87077,13662,LaLiga 17/18
87634,11906,LaLiga 16/17
88175,10495,Primera Division 15/16
88714,8578,Primera Division 14/15
89150,6559,Primera Division 13/14
89633,32502,LaLiga 2 20/21
90185,24149,LaLiga 2 19/20
90837,18034,LaLiga 2 18/19
91469,13670,La Liga 2 17/18
92082,11913,Segunda Division 16/17
92697,10500,Segunda Division 15/16
93295,8580,Segunda Division 14/15
93752,6767,Segunda Division 13/14
94187,26137,Copa del Rey 19/20
94608,18173,Copa del Rey 18/19
95631,14023,Copa del Rey 17/18
96650,11974,Copa del Rey 16/17
97654,10551,Copa del Rey 15/16
98566,8670,Copa del Rey 14/15
99511,6999,Copa del Rey 13/14
100312,26219,Super Cup 2020
100371,17795,Super Cup 2018
100399,13871,Super Cup 2017
100434,26784,Allsvenskan 2020
100852,19949,Allsvenskan 2019
101265,15731,Allsvenskan 2018
101667,12836,Allsvenskan 2017
102078,11126,Allsvenskan 2016
102438,9769,Allsvenskan 2015
102780,7598,Allsvenskan 2014
103116,5762,Allsvenskan 2013
103433,26803,Superettan 2020
103822,20007,Superettan 2019
104159,16091,Superettan 2018
104463,12843,Superettan 2017
104754,11128,Superettan 2016
105049,9781,Superettan 2015
105323,7600,Superettan 2014
105592,5774,Superettan 2013
105897,32512,Super League 20/21
106113,23982,Super League 19/20
106441,17465,Super League 18/19
106725,13426,Super League 17/18
106978,11741,Super League 16/17
107212,10385,Super League 15/16
107462,8158,Super League 14/15
107698,6285,Super League 13/14
107944,32513,Challenge League 20/21
108137,23994,Challenge League 19/20
108428,17467,Challenge League 18/19
108678,13427,Challenge League 17/18
108915,11822,Challenge League 16/17
109139,10384,Challenge League 15/16
109361,8162,Challenge League 14/15
109562,6343,Challenge League 13/14
109749,29506,Super Lig 20/21
110241,24407,Super Lig 19/20
110769,17762,Super Lig 18/19
111274,13575,Super Lig 17/18
111761,11927,Super Lig 16/17
112253,10470,Super Lig 15/16
112770,8508,Super Lig 14/15
113146,6673,Super Lig 13/14
113543,30979,1. Lig 20/21
114012,24406,1. Lig 19/20
114565,17909,1. Lig 18/19
115004,13849,1. Lig 17/18
115380,12025,1. Lig 16/17
115711,10505,1. Lig 15/16
116056,8754,TFF 1. Lig 14/15
116393,6863,TFF 1. Lig 13/14
116733,25147,Turkiye Kupasi 19/20
118397,18538,Turkiye Kupasi 18/19
119505,14166,Turkiye Kupasi 17/18
120706,12302,Turkiye Kupasi 16/17
121480,10830,Turkiye Kupasi 15/16
122051,9140,Turkiye Kupasi 14/15
122560,7156,Turkiye Kupasi 13/14
122755,23900,Super Cup 2019
122783,17587,Super Cup 2018
122813,13879,Super Cup 2017
122840,29387,Premier League 20/21
123197,23995,Premier League 19/20
123591,17356,Premier League 18/19
123941,13336,Premier League 17/18
124260,11816,Premier League 16/17
124531,10369,Premier League 15/16
124803,8448,Premier League 14/15
125076,6329,Premier League 13/14
125347,24976,Ukraine Cup 19/20
125356,17783,Ukraine Cup 18/19
125370,13769,Ukraine Cup 17/18
125376,12121,Ukraine Cup 16/17
125413,10445,Ukraine Cup 15/16
125496,8674,Ukraine Cup 14/15
125527,29388,Super Cup 2020
125531,23878,Super Cup 2019
125534,17468,Super Cup 2018
125535,13349,Super Cup 2017
125536,10366,Super Cup 2015
125538,27395,Primera Division 2020
126021,22581,Primera Division 2019
126474,16062,Primera Division 2018
126808,27093,Super Cup 2020
126836,22417,Super Cup 2019
126849,28213,Premijer Liga 20/21
127114,23981,Premijer Liga 19/20
127432,17591,Premier League 18/19
127735,13485,Premier League 17/18
128037,11796,Premier League 16/17
128266,26853,"Primera Division, Apertura 2020"
128630,20170,Primera Division 2019
128935,15998,Primera Division 2018
129175,34490,"Primera Division, Clausura 2020"
129439,24026,"Primera Division, Clausura 2019"
129788,19405,Primera Division 2018
130081,29415,Premier League 20/21
130506,23776,Premier League 19/20
131021,17359,Premier League 18/19
131526,13380,Premier League 17/18
132041,11733,Premier League 16/17
132565,10356,Premier League 15/16
133115,8186,Premier League 14/15
133559,6311,Premier League 13/14
134002,29438,Championship 20/21
134545,23976,Championship 19/20
135241,17473,Championship 18/19
135929,13429,Championship 17/18
136626,11784,Championship 16/17
137333,10358,Championship 15/16
137922,8188,Championship 14/15
138532,6315,Championship 13/14
139124,29439,League One 20/21
139666,23977,League One 19/20
140302,17474,League One 18/19
140903,13430,League One 17/18
141476,11785,League One 16/17
142053,10359,League One 15/16
142608,8194,League One 14/15
143104,6313,League One 13/14
143598,29441,League Two 20/21
144143,23980,League Two 19/20
144824,17476,League Two 18/19
145428,13431,League Two 17/18
146006,11783,League Two 16/17
146592,10357,League Two 15/16
147145,8196,League Two 14/15
147694,6317,League Two 13/14
148174,25944,FA Cup 19/20
150195,19402,FA Cup 18/19
152185,15100,FA Cup 17/18
154131,12550,FA Cup 16/17
156191,11016,FA Cup 15/16
157797,9506,FA Cup 14/15
159826,6871,FA Cup 13/14
161565,29404,EFL Cup 20/21
163104,24004,EFL Cup 19/20
164629,17400,EFL Cup 18/19
164855,13389,EFL Cup 17/18
165091,11794,EFL Cup 16/17
165156,10397,League Cup 15/16
165245,8184,League Cup 14/15
165314,6295,League Cup 13/14
165387,29429,EFL Trophy 20/21
166889,29373,Community Shield 2020
166919,23752,Community Shield 2019
166949,17107,Community Shield 2018
166981,13386,Community Shield 2017
167010,23779,Superliga 19/20
167522,17445,Superliga 18/19
167990,13440,Superliga 17/18
168390,11737,Superliga 16/17
168781,10336,Superliga 15/16
169156,8244,Superliga 14/15
169409,6353,Superliga 13/14
169411,34546,Premier Soccer League 20/21
169743,24027,Premier Soccer League 19/20
170230,18098,Premier Soccer League 18/19
170689,14056,Premier Soccer League 17/18
171117,29317,League Cup 20/21
171373,24955,Arabian Gulf Cup 19/20
171391,17152,League Cup 18/19
171653,14178,League Cup 17/18
171866,29401,Bundesliga 20/21
172140,23972,Bundesliga 19/20
172487,17454,Bundesliga 18/19
172801,13428,Bundesliga 17/18
173110,11731,Bundesliga 16/17
173391,10377,Bundesliga 15/16
173632,8142,Bundesliga 14/15
173884,6347,Bundesliga 13/14
174107,29346,OFB Cup 20/21
174508,24049,OEFB Cup 19/20
175125,17672,OFB Cup 18/19
175420,13508,OFB Cup 17/18
175651,11776,OFB Cup 16/17
176212,10410,OFB Cup 15/16
176777,8340,OFB Cup 14/15
177419,6439,OFB Cup 13/14
177935,29416,2. Liga 20/21
178258,23992,2. Liga 19/20
178735,17520,2. Liga 18/19
179147,13441,Erste Liga 17/18
179421,11764,Erste Liga 16/17
179699,10378,Erste Liga 15/16
179955,8220,Erste Liga 14/15
180189,6345,Erste Liga 13/14
180409,29396,Premier League 20/21
180562,24795,Premier League 19/20
180755,18115,Premier League 18/19
180968,13891,Premier League 17/18
181165,12054,Premier League 16/17
181331,10566,Premier League 15/16
181349,8534,Premier League 14/15
181365,6705,Premier League 13/14
181377,28216,First Division A 20/21
181815,24097,First Division A 19/20
182265,17343,First Division A 18/19
182738,13375,First Division A 17/18
183231,11829,First Division A 16/17
183710,10335,Pro League 15/16
184128,8168,Pro League 14/15
184594,6241,Pro League 13/14
185047,24041,Super Cup 2019
185075,17446,Super Cup 2018
185078,10354,Super Cup 2015
185079,29203,First Professional League 20/21
185426,23773,First Professional League 19/20
185876,17330,First Professional League 18/19
186276,13483,First Professional League 17/18
186668,11865,First Professional League 16/17
187022,10428,A PFG 15/16
187273,8248,A PFG 14/15
187553,6279,A PFG 13/14
187880,27508,Canadian Premier League 2020
188045,13225,Canadian Championship 2017
188137,26951,Primera Division 2020
188616,22328,Primera Division 2019
189054,15995,Primera Division 2018
189511,13475,Primera Division 2017
189893,22281,Supercup 2019
189921,15816,Supercup 2018
189949,28232,Chinese Super League 2020
190401,22556,Chinese Super League 2019
190865,16186,Chinese Super League 2018
191301,12938,Chinese Super League 2017
191733,11342,Chinese Super League 2016
192150,9833,Chinese Super League 2015
192446,26956,Primera A 2020
