,season_id,season_name
294474,10238,Gold Cup 2015
294686,10191,"World Cup Qualif., CONCACAF 2018"
294867,22352,Copa America 2019
295095,11115,Copa America 2016
295396,9576,Copa America 2015
295582,26785,Copa Libertadores 2020
296413,19989,Copa Libertadores 2019
297152,15806,Copa Libertadores 2018
297913,12772,Copa Libertadores 2017
298403,11155,Copa Libertadores 2016
298855,9691,Copa Libertadores 2015
299209,7568,Copa Libertadores 2014
299586,5788,Copa Libertadores 2013
299982,26788,Copa Sudamericana 2020
301048,19990,Copa Sudamericana 2019
302095,15809,Copa Sudamericana 2018
303191,12950,Copa Sudamericana 2017
303590,11985,Copa Sudamericana 2016
303927,10582,Copa Sudamericana 2015
304260,8246,Copa Sudamericana 2014
304582,6477,Copa Sudamericana 2013
304915,27132,Recopa Sudamericana 2020
304948,20045,Recopa Sudamericana 2019
304980,15913,Recopa Sudamericana 2018
305011,13083,Recopa Sudamericana 2017
305045,26781,"WC Qual, CONMEBOL 2022"
305300,10583,World Cup Qualification 2018
305732,29267,UEFA Champions League 20/21
306347,23766,UEFA Champions League 19/20
307032,17351,UEFA Champions League 18/19
307734,13415,UEFA Champions League 17/18
308427,11773,UEFA Champions League 16/17
309125,10390,UEFA Champions League 15/16
309801,8226,Champions League 14/15
310657,6359,Champions League 13/14
311465,29343,UEFA Europa League 20/21
312422,23755,UEFA Europa League 19/20
313668,17352,UEFA Europa League 18/19
314898,13416,UEFA Europa League 17/18
316129,11774,UEFA Europa League 16/17
317357,10391,UEFA Europa League 15/16
318570,8228,UEFA Europa League 14/15
320276,6361,UEFA Europa League 13/14
322088,19857,"European Championship 2021, Qualification"
323706,7802,European Ch.ship QF 2016
325197,11098,European Championship 2016
325651,27595,UEFA Nations League 20/21
327171,16000,UEFA Nations League 18/19
328460,10585,"World Cup 2018, Qualification, UEFA"
329951,29463,UEFA Super Cup 2020
329981,23614,UEFA Super Cup 2019
330011,17168,UEFA Super Cup 2018
330041,13327,UEFA Super Cup 2017
330068,12634,European Ch.ship Women 2017
330116,5659,European Ch.ship Women 2013
330154,17278,U19 European Ch.ship 2018
330237,13260,U19 European Ch.ship 2017
330299,11450,U19 European Ch.ship 2016
330367,10337,U19 European Ch.ship 2015
330417,6283,U19 European Ch.ship 2013
330471,19788,U21 European Ch.ship 2019
330702,12726,U21 European Ch.ship 2017
330851,9537,U21 European Ch.ship 2015
330956,5713,U21 European Ch.ship 2013
331056,24785,CAF Champions League 19/20
331429,19809,CAF Champions League 18/19
331799,16303,CAF Champions League 2018
332166,12962,CAF Champions League 2017
332525,23112,Africa Cup of Nations 2019
332990,12586,Africa Cup of Nations 2017
333286,9596,Africa Cup of Nations 2015
333482,5621,Africa Cup of Nations 2013
333684,24786,CAF Confederations Cup 19/20
334053,23643,CAF Super Cup 2020
334081,19961,CAF Super Cup 18/19
334108,16072,CAF Super Cup 2018
334136,12888,CAF Super Cup 2017
334163,27591,Brasileiro Serie A 2020
334827,22931,Brasileiro Serie A 2019
335521,16183,Brasileiro Serie A 2018
336237,13100,Brasileiro Serie A 2017
336951,11429,Brasileiro Serie A 2016
337671,10173,Brasilero Serie A 2015
338268,7778,Brasilero Serie A 2014
338872,6075,Brasilero Serie A 2013
339427,27593,Brasileiro Serie B 2020
340125,22932,Brasileiro Serie B 2019
340866,16184,Brasileiro Serie B 2018
341607,26912,Supercopa do Brasil 2020
341635,26501,"Paulista, Serie A1 2020"
342086,19896,"Paulista, Serie A1 2019"
342492,15710,"Paulista, Serie A1 2018"
342911,12818,"Paulista, Serie A1 2017"
